Traffic_Flow,Average_Speed,Occupancy,Temperature,Humidity,Wind_Speed,Precipitation,Visibility,Traffic_Congestion_High,Traffic_Congestion_Low,Traffic_Congestion_Medium,Road_Condition_Dry,Road_Condition_Icy,Road_Condition_Snowy,Road_Condition_Unknown,Road_Condition_Wet,Day_Night_Day,Day_Night_Night
102.0,95.20887097774047,71.48995340913137,24.73023225807565,6.641042037273282,1.6133071599915605,4.84361436345506,5.615359031013368,False,True,False,False,False,True,False,False,False,True
435.0,22.22741358568916,57.89776465541452,8.805836770793423,17.08601993864648,27.731161390798903,6.5466725149965965,0.0033296788510794,False,False,True,False,False,True,False,False,False,True
860.0,110.13029870056528,1.460899710888286,23.6782854982267,31.11206807596474,19.851620171781853,19.707152195494785,1.1424563079197747,True,False,False,False,False,False,False,True,False,True
270.0,50.94329102356343,36.03754923631707,33.26005840376628,32.069928504132285,26.598679500491745,7.3633600051218835,3.751951917678787,False,True,False,True,False,False,False,False,False,True
71.0,97.88983722051373,38.74512959225387,0.7292230529067645,62.31329207526848,3.938606132479178,16.96588531950437,1.3352897331214009,False,True,False,True,False,False,False,False,False,True
700.0,44.82116196460651,86.34798949128131,32.38174250225701,49.45897780098137,28.217446102058936,10.54855622217727,2.3179639045595444,True,False,False,True,False,False,False,False,True,False
20.0,63.17990329845372,30.88022753496153,17.16849298534654,21.126373230876798,26.996791608983013,6.489068432363352,4.296014141676469,False,True,False,False,False,False,True,False,True,False
614.0,13.4765213293463,29.353479245866044,-5.263067688380863,38.19834696903034,10.44228233703107,10.475019538370605,7.148371979367092,False,False,True,True,False,False,False,False,True,False
121.0,0.3100817813978862,26.599769309265795,15.770726713551024,54.35939684651695,3.346000210550295,2.281726208781949,1.326886118258459,False,True,False,True,False,False,False,False,True,False
466.0,76.55822469519572,33.27808689607955,12.52614002517344,46.798536610394194,21.12464252366621,2.6001391046553968,7.379585719093322,False,False,True,False,True,False,False,False,True,False
214.0,61.8210204400478,55.74049643141872,28.50150023340035,12.729253309507838,21.850839082101675,13.88215064461338,8.550607297172208,False,True,False,True,False,False,False,False,True,False
